Equipment_ID,Equipment_Name,Equipment_Type,Safety_Status,Installation_Date,Standard_ID
214,Diced Tomatoes (canned),medicine ball,Fixed,7/12/2024,214
215,Ergonomic Gaming Chair,medicine ball,NotWorking,5/12/2024,215
216,Gardening Tools Set,yoga mat,NeedFix,2/24/2025,216
217,Electric Ice Cream Maker,medicine ball,Fixed,6/4/2024,217
218,Savory Oats,jump rope,Fixed,9/18/2024,218
219,Motion Sensor Light,exercise ball,Fixed,3/1/2025,219
220,Microfiber Cleaning Cloth Set,pull-up bar,NotWorking,9/13/2024,220
221,Kettle Corn Popcorn,pull-up bar,Fixed,11/16/2024,221
222,Chickpea Pasta,kettlebell,Fixed,4/18/2024,222
223,Decorative Throw Blanket,medicine ball,NeedFix,4/18/2024,223
224,Avocado Oil,resistance bands,NeedFix,8/21/2024,224
225,Window Blinds,resistance bands,Fixed,7/10/2024,225
226,Diced Tomatoes (canned),exercise ball,NotWorking,4/24/2024,226
227,Pet Water Fountain with Filtration,yoga mat,Fixed,9/26/2024,227
228,Craft Beer Mustard,medicine ball,Fixed,3/1/2025,228
229,Dark Chocolate Covered Raisins,rowing machine,Fixed,6/16/2024,229
230,Roasted Red Pepper Sauce,exercise ball,NotWorking,1/21/2025,230
231,Smart Doorbell,treadmill,Fixed,12/7/2024,231
232,Marinated Artichokes,medicine ball,Fixed,10/19/2024,232
233,Portable Pet Water Bottle,pull-up bar,Fixed,11/11/2024,233
234,Oven Mitts,treadmill,NeedFix,8/10/2024,234
235,Ginger Turmeric Shots,treadmill,NotWorking,7/6/2024,235
236,Pet Travel Bed,medicine ball,NotWorking,7/23/2024,236
237,Home Cleaning Robot,medicine ball,Fixed,9/8/2024,237
238,Chocolate Mint Protein Shake,dumbbells,NeedFix,3/3/2025,238
239,Stylish Wireless Earbuds,medicine ball,Fixed,3/19/2025,239
240,Kids'' Gardening Kit,pull-up bar,Fixed,6/10/2024,240
241,Plant Growing Kit,treadmill,NotWorking,12/14/2024,241
242,Oats,dumbbells,NeedFix,5/13/2024,242
243,Ethical Wool Scarf,resistance bands,NotWorking,11/1/2024,243
244,Digital Voice Recorder,yoga mat,NotWorking,1/17/2025,244
245,Sliced Strawberries,medicine ball,Fixed,3/10/2025,245
246,Vegetable Curry,pull-up bar,NotWorking,7/31/2024,246
247,Wireless Security System,jump rope,NeedFix,1/14/2025,247
248,Portable Solar Path Lights,dumbbells,NotWorking,8/19/2024,248
249,Cheesy Broccoli Soup Mix,rowing machine,Fixed,4/12/2024,249
250,Overnight Hiking Backpack,treadmill,Fixed,11/13/2024,250
251,Outdoor Inflatable Pool,exercise ball,Fixed,6/15/2024,251
252,Electric Hot Water Dispenser,dumbbells,NeedFix,7/14/2024,252
253,Pest Control Traps,medicine ball,Fixed,8/31/2024,253
254,Pet Travel Carrier,dumbbells,Fixed,1/10/2025,254
255,Smart Thermostat with Wi-Fi,pull-up bar,Fixed,3/8/2025,255
256,Paprika,dumbbells,NeedFix,5/26/2024,256
257,Portable Blender,jump rope,NotWorking,11/27/2024,257
258,Wireless Security Camera,treadmill,NotWorking,11/5/2024,258
259,Dog Collar,exercise ball,NotWorking,8/24/2024,259
260,Bike Helmet,pull-up bar,NotWorking,3/13/2025,260
261,Gingerbread House Kit,jump rope,NotWorking,6/16/2024,261
262,DIY Lip Balm Kit,yoga mat,NeedFix,4/18/2024,262
263,Savory Breakfast Sausage,treadmill,NotWorking,3/7/2025,263
264,Water Bottle with Built-in Fruit Infuser,exercise ball,NotWorking,4/14/2024,264
265,Apple Cinnamon Instant Oatmeal,medicine ball,NotWorking,3/31/2025,265
266,Coconut Rice,medicine ball,NeedFix,8/9/2024,266
267,Travel Pillow,jump rope,NotWorking,12/20/2024,267
268,Lemon Pepper Seasoning,medicine ball,NotWorking,7/8/2024,268
269,Glass Water Bottle,rowing machine,Fixed,3/18/2025,269
270,Granola,medicine ball,Fixed,6/25/2024,270
271,Grass Fed Beef Patties,dumbbells,NeedFix,5/16/2024,271
272,Vintage Graphic Tee,resistance bands,Fixed,6/23/2024,272
273,Fresh Basil Pesto,dumbbells,Fixed,6/12/2024,273
274,Ice Cream Maker,dumbbells,Fixed,7/9/2024,274
275,Honey Nut Cheerios,yoga mat,NeedFix,11/14/2024,275
276,Safety First Aid Kit,pull-up bar,Fixed,8/3/2024,276
277,Miso Soup Starter,exercise ball,NeedFix,1/8/2025,277
278,Mini Cordless Vacuum Cleaner,rowing machine,NotWorking,2/15/2025,278
279,Creamy Avocado Dip,dumbbells,NotWorking,4/18/2024,279
280,Car Seat Organizer,dumbbells,NeedFix,7/24/2024,280
281,Wildflower Honey,treadmill,NeedFix,6/9/2024,281
282,Mixed Nuts,medicine ball,NotWorking,9/24/2024,282
283,Samoas Cookie Mix,medicine ball,NeedFix,1/8/2025,283
284,Almond Coconut Granola,dumbbells,NeedFix,4/4/2025,284
285,Non-Slip Yoga Socks,yoga mat,NeedFix,1/6/2025,285
286,Lemon Sorbet,yoga mat,NotWorking,5/11/2024,286
287,Patterned Knit Scarf,treadmill,NotWorking,1/30/2025,287
288,Dog Frisbee Toy,yoga mat,NeedFix,10/5/2024,288
289,Honey BBQ Riblets,exercise ball,NotWorking,5/5/2024,289
290,Stuffed Bell Peppers,exercise ball,NotWorking,12/16/2024,290
291,Desk Organizer Set,jump rope,NeedFix,12/17/2024,291
292,LED Table Lamp,resistance bands,Fixed,8/20/2024,292
293,Comfort Flats,kettlebell,Fixed,5/21/2024,293
294,Ground Turkey,dumbbells,NeedFix,10/27/2024,294
295,Set of Silicone Cooking Utensils,dumbbells,NeedFix,2/19/2025,295
296,Organic Whole Grain Oats,dumbbells,NotWorking,6/10/2024,296
297,Multi-Function Smartphone Holder,dumbbells,NeedFix,3/4/2025,297
298,Roasted Vegetable Medley,kettlebell,NeedFix,12/14/2024,298
299,Pet Safety Harness,jump rope,Fixed,1/23/2025,299
300,Paprika,resistance bands,Fixed,11/19/2024,300
301,Peanut Butter Cookies,medicine ball,NeedFix,7/28/2024,301
302,Spicy Beef Taco Mix,resistance bands,NotWorking,9/22/2024,302
303,Wall-Mounted Wine Rack,dumbbells,NeedFix,7/19/2024,303
304,Self-Adhesive Wallpaper,resistance bands,NotWorking,8/22/2024,304
305,Cotton Tote Bag Set,yoga mat,NotWorking,9/9/2024,305
306,Kettle Corn Popcorn,resistance bands,Fixed,12/28/2024,306
307,Wireless Charging Station,dumbbells,Fixed,7/1/2024,307
308,Fleece Lined Leggings,dumbbells,NotWorking,2/8/2025,308
309,Greek Yogurt,jump rope,NotWorking,7/15/2024,309
310,Peach Green Tea,kettlebell,NeedFix,8/17/2024,310
311,Crispy Kale Chips,treadmill,Fixed,7/5/2024,311
312,Vegan Cheese,kettlebell,NotWorking,8/16/2024,312
313,Rechargeable Battery Organizer,medicine ball,NotWorking,4/6/2025,313
314,Vegan Chocolate Cake Mix,treadmill,NeedFix,3/31/2025,314
315,Chocolate Fudge Brownie Mix,rowing machine,Fixed,9/21/2024,315
316,Mini Indoor Herb Garden Kit,exercise ball,NeedFix,8/14/2024,316
317,Ultraviolet Phone Sanitizer,resistance bands,NeedFix,1/22/2025,317
318,Electric Kettle with Temperature Control,rowing machine,NotWorking,8/18/2024,318
319,Himalayan Salt Grinder,exercise ball,Fixed,10/19/2024,319
320,Slim Fit Chinos,treadmill,NeedFix,3/30/2025,320
321,Quality Chef Apron,resistance bands,NeedFix,1/23/2025,321
322,Fried Rice,medicine ball,NeedFix,12/31/2024,322
323,Folding Pocket Knife,rowing machine,NeedFix,9/17/2024,323
324,Board Game,resistance bands,NeedFix,5/26/2024,324
325,Garlic & Herb Goat Cheese,medicine ball,Fixed,12/13/2024,325
326,Organic Granola,kettlebell,NotWorking,2/11/2025,326
327,Acoustic Guitar,exercise ball,NotWorking,8/18/2024,327
328,Smartphone Holder for Car,treadmill,NotWorking,2/7/2025,328
329,Almond Quinoa Salad,pull-up bar,NotWorking,5/17/2024,329
330,Smartphone Gimbal Stabilizer,exercise ball,NeedFix,2/8/2025,330
331,Adjustable Window Blind,pull-up bar,Fixed,11/25/2024,331
332,Vanilla Bean Greek Yogurt,dumbbells,NeedFix,5/15/2024,332
333,Pecan Pie Filling,rowing machine,Fixed,11/2/2024,333
334,Flavored Popcorn Mix,medicine ball,NotWorking,4/5/2025,334
335,Portable Solar Phone Charger,pull-up bar,Fixed,4/26/2024,335
336,Spicy Thai Noodles,resistance bands,NeedFix,6/24/2024,336
337,Vanilla Protein Powder,medicine ball,Fixed,6/15/2024,337
338,Ranch Dressing,jump rope,NotWorking,1/12/2025,338
339,Wireless HDMI Receiver,medicine ball,NeedFix,10/8/2024,339
340,High-Pressure Handheld Shower Head,pull-up bar,NeedFix,5/8/2024,340
341,Organic Green Lentils,medicine ball,Fixed,4/1/2025,341
342,Self-Watering Planters,pull-up bar,NeedFix,9/17/2024,342
343,Raspberry Vanilla Greek Yogurt,jump rope,NotWorking,11/12/2024,343
344,Bicycle Repair Kit,dumbbells,NotWorking,5/3/2024,344
345,Cranberry Almond Biscotti,rowing machine,NotWorking,2/26/2025,345
346,Garlic & Herb Goat Cheese,medicine ball,Fixed,8/28/2024,346
347,Skincare Fridge,dumbbells,NotWorking,9/20/2024,347
348,Roasted Chickpeas,pull-up bar,NeedFix,4/25/2024,348
349,Red Lentils,jump rope,Fixed,3/1/2025,349
350,Frozen Acai Bowl,rowing machine,NeedFix,11/9/2024,350
351,Honey Sriracha Chicken Bites,jump rope,Fixed,9/30/2024,351
352,Vegetable Potstickers,resistance bands,Fixed,6/10/2024,352
353,Board Game Storage,pull-up bar,NotWorking,6/17/2024,353
354,Zucchini,rowing machine,NeedFix,12/28/2024,354
355,Multifunctional Pocket Tool,dumbbells,Fixed,1/9/2025,355
356,Vegan chocolate chip cookies,dumbbells,NotWorking,10/20/2024,356
357,Instant Camera,rowing machine,NotWorking,12/1/2024,357
358,Beef Jerky,jump rope,NeedFix,5/19/2024,358
359,Coffee Subscription Service,kettlebell,Fixed,4/21/2024,359
360,Tomato Basil Pasta Sauce,resistance bands,Fixed,3/4/2025,360
361,Portable Pet Stroller,treadmill,NotWorking,2/17/2025,361
362,Dried Fruit Medley,rowing machine,NeedFix,4/27/2024,362
363,Wooden Kitchen Utensil Set,medicine ball,NeedFix,6/30/2024,363
364,Portable Projector,treadmill,Fixed,7/28/2024,364
365,Tomato Basil Pasta Sauce,jump rope,Fixed,5/14/2024,365
366,Spiced Pumpkin Soup,dumbbells,NotWorking,6/25/2024,366
367,Graphic Tee,pull-up bar,NeedFix,9/9/2024,367
368,Sweetened Condensed Milk,kettlebell,NeedFix,7/7/2024,368
369,Casual Long Cardigan,treadmill,NeedFix,10/27/2024,369
370,Portable Leaf Blower,jump rope,Fixed,11/12/2024,370
371,Luxury Yoga Mat,dumbbells,Fixed,7/15/2024,371
372,Samsung Galaxy Smartwatch,treadmill,NotWorking,1/19/2025,372
373,Ricotta Cheese,exercise ball,NotWorking,2/9/2025,373
374,Classic Beef Chili,medicine ball,NotWorking,3/10/2025,374
375,Garden Vegetable Chips,yoga mat,Fixed,9/30/2024,375
376,Mini Projector,medicine ball,NotWorking,9/23/2024,376
377,Smart Thermostat with Wi-Fi,exercise ball,Fixed,2/7/2025,377
378,Wall Art Stickers,kettlebell,NotWorking,10/16/2024,378
379,Hummus Variety Pack,rowing machine,NotWorking,8/21/2024,379
380,Emergency Preparedness Kit,rowing machine,NotWorking,3/14/2025,380
381,Eco-Friendly Yoga Mat,dumbbells,Fixed,2/27/2025,381
382,Compact Digital Camera,exercise ball,NotWorking,2/15/2025,382
383,Mashed Sweet Potatoes,kettlebell,Fixed,11/13/2024,383
384,Cinnamon Roll Protein Bar,dumbbells,Fixed,1/19/2025,384
385,Laptop Stand,yoga mat,NotWorking,2/18/2025,385
386,Sweet Potato Fries,exercise ball,Fixed,12/24/2024,386
387,Fire Roasted Salsa,exercise ball,Fixed,2/26/2025,387
388,Bluetooth Tracker,kettlebell,NeedFix,10/16/2024,388
389,Pet Hair Removal Brush,yoga mat,NotWorking,5/31/2024,389
390,LED Strip Lights Kit,treadmill,NotWorking,8/20/2024,390
391,Ice Cube Tray with Lid,yoga mat,NeedFix,9/22/2024,391
392,Non-Toxic Concrete Sealer,treadmill,NotWorking,4/7/2024,392
393,Electric Heat Pad,pull-up bar,NeedFix,1/16/2025,393
394,Teriyaki Chicken Wings,treadmill,NotWorking,11/2/2024,394
395,Matcha Green Tea Powder,kettlebell,NotWorking,2/4/2025,395
396,Almond Joy Snack Bars,resistance bands,NotWorking,2/14/2025,396
397,Over-The-Door Shoe Organizer,treadmill,NeedFix,2/20/2025,397
398,Sunflower Seeds,treadmill,NeedFix,6/13/2024,398
399,Toasted Coconut Granola,kettlebell,NotWorking,12/16/2024,399
400,Adjustable Dumbbells,jump rope,NeedFix,1/19/2025,400
